year,quarter,segment,incoming_count,incoming_pct,outgoing_count,outgoing_pct,avg_outgoing_tenure_years,company_count
2019,1,Global,53,2.9,41,2.2,7.7,1855
2019,1,Consumer,14,4.4,10,3.1,8.3,321
2019,1,Financial Services,12,2.6,10,2.2,7.5,465
2019,1,Healthcare,5,4.5,3,2.7,11.6,111
2019,1,Industrial,,,,,,743
2019,1,Technology,7,3.3,2,0.9,8.6,215
2019,2,Global,81,4.0,63,3.4,7.2,1855
2019,2,Consumer,12,3.7,7,2.2,7.1,321
2019,2,Financial Services,15,3.2,15,3.2,7.9,465
2019,2,Healthcare,5,4.5,3,2.7,9.9,111
2019,2,Industrial,,,,,,743
2019,2,Technology,9,4.2,6,2.8,8.0,215
2019,3,Global,41,2.2,34,1.8,6.2,1855
2019,3,Consumer,8,2.5,5,1.6,5.5,321
2019,3,Financial Services,6,1.3,6,1.3,4.4,465
2019,3,Healthcare,5,4.5,6,5.4,9.3,111
2019,3,Industrial,,,,,,743
2019,3,Technology,6,2.8,2,0.9,4.5,215
2019,4,Global,38,2.1,44,2.4,6.9,1855
2019,4,Consumer,5,1.6,9,2.8,4.7,321
2019,4,Financial Services,7,1.5,5,1.1,5.0,465
2019,4,Healthcare,3,2.7,6,5.4,7.3,111
2019,4,Industrial,,,,,,743
2019,4,Technology,10,4.7,7,3.3,9.9,215
2020,1,Global,59,3.2,66,3.6,8.5,1855
2020,1,Consumer,14,4.4,19,5.9,8.3,321
2020,1,Financial Services,13,2.8,12,2.6,11.9,465
2020,1,Healthcare,4,3.6,2,1.8,14.7,111
2020,1,Industrial,,,,,,743
2020,1,Technology,5,2.3,4,1.9,6.5,215
2020,2,Global,63,3.4,52,2.8,7.7,1855
2020,2,Consumer,13,4.0,6,1.9,11.9,321
2020,2,Financial Services,13,2.8,14,3.0,6.7,465
2020,2,Healthcare,4,3.6,3,2.7,7.2,111
2020,2,Industrial,,,,,,743
2020,2,Technology,7,3.3,9,4.2,9.2,215
2020,3,Global,46,2.5,30,1.6,6.6,1855
2020,3,Consumer,9,2.8,8,2.5,5.6,321
2020,3,Financial Services,9,1.9,6,1.3,7.3,465
2020,3,Healthcare,1,0.9,1,0.9,4.1,111
2020,3,Industrial,,,,,,743
2020,3,Technology,9,4.2,3,1.4,11.9,215
2020,4,Global,37,2.0,39,2.1,9.4,1855
2020,4,Consumer,6,1.9,4,1.2,4.6,321
2020,4,Financial Services,7,1.5,11,2.4,10.6,465
2020,4,Healthcare,4,3.6,,,,111
2020,4,Industrial,,,,,,743
2020,4,Technology,1,0.5,2,0.9,5.7,215
2021,1,Global,69,3.7,53,2.9,9.8,1855
2021,1,Consumer,23,7.2,15,4.7,7.1,321
2021,1,Financial Services,10,2.2,9,1.9,9.6,465
2021,1,Healthcare,2,1.8,2,1.8,21.3,111
2021,1,Industrial,,,,,,743
2021,1,Technology,7,3.3,4,1.9,5.7,215
2021,2,Global,59,3.2,56,3.0,6.6,1855
2021,2,Consumer,10,3.1,9,2.8,5.4,321
2021,2,Financial Services,9,1.9,8,1.7,7.4,465
2021,2,Healthcare,3,2.7,3,2.7,6.5,111
2021,2,Industrial,,,,,,743
2021,2,Technology,9,4.2,9,4.2,7.7,215
2021,3,Global,33,1.8,25,1.4,9.7,1855
2021,3,Consumer,9,2.8,10,3.1,11.1,321
2021,3,Financial Services,9,1.9,2,0.4,11.2,465
2021,3,Healthcare,3,2.7,1,0.9,11.5,111
2021,3,Industrial,,,,,,743
2021,3,Technology,2,0.9,2,0.9,4.1,215
2021,4,Global,26,1.4,32,1.7,7.8,1855
2021,4,Consumer,4,1.2,9,2.8,5.9,321
2021,4,Financial Services,6,1.3,8,1.7,9.3,465
2021,4,Healthcare,,,,,,111
2021,4,Industrial,,,,,,743
2021,4,Technology,7,3.3,2,0.9,10.5,215
2022,1,Global,59,3.2,46,2.5,7.7,1855
2022,1,Consumer,14,4.4,9,2.8,10.2,321
2022,1,Financial Services,13,2.8,8,1.7,7.2,465
2022,1,Healthcare,1,0.9,2,1.8,6.1,111
2022,1,Industrial,,,,,,743
2022,1,Technology,4,1.9,4,1.9,7.2,215
2022,2,Global,63,3.4,65,3.5,7.7,1855
2022,2,Consumer,14,4.4,12,3.7,6.2,321
2022,2,Financial Services,6,1.3,8,1.7,7.8,465
2022,2,Healthcare,4,3.6,5,4.5,7.2,111
2022,2,Industrial,,,,,,743
2022,2,Technology,10,4.7,12,5.6,6.2,215
2022,3,Global,39,2.1,40,2.2,6.7,1855
2022,3,Consumer,6,1.9,7,2.2,6.8,321
2022,3,Financial Services,7,1.5,6,1.3,6.6,465
2022,3,Healthcare,6,5.4,5,4.5,6.1,111
2022,3,Industrial,,,,,,743
2022,3,Technology,2,0.9,2,0.9,8.0,215
2022,4,Global,33,1.8,50,2.7,7.3,1855
2022,4,Consumer,6,1.9,7,2.2,4.3,321
2022,4,Financial Services,9,1.9,12,2.6,7.1,465
2022,4,Healthcare,3,2.7,2,1.8,5.3,111
2022,4,Industrial,,,,,,743
2022,4,Technology,4,1.9,9,4.2,9.7,215
2023,1,Global,56,3.0,41,2.2,9.1,1855
2023,1,Consumer,12,3.7,13,4.0,8.6,321
2023,1,Financial Services,9,1.9,8,1.7,9.4,465
2023,1,Healthcare,3,2.7,2,1.8,7.6,111
2023,1,Industrial,,,,,,743
2023,1,Technology,6,2.8,5,2.3,5.4,215
2023,2,Global,74,4.0,70,3.8,9.2,1842
2023,2,Consumer,14,4.4,12,3.8,6.5,319
2023,2,Financial Services,14,3.0,12,2.6,12.5,462
2023,2,Healthcare,4,3.6,4,3.6,9.4,110
2023,2,Industrial,,,,,,738
2023,2,Technology,10,4.7,4,1.9,12.6,213
2023,3,Global,27,1.5,39,2.1,6.2,1842
2023,3,Consumer,,,,,,319
2023,3,Financial Services,,,,,,462
2023,3,Healthcare,,,,,,110
2023,3,Industrial,,,,,,738
2023,3,Technology,,,,,,213
2023,4,Global,24,1.3,36,2.0,7.8,1857
2023,4,Consumer,,,,,,324
2023,4,Financial Services,,,,,,458
2023,4,Healthcare,,,,,,113
2023,4,Industrial,,,,,,747
2023,4,Technology,,,,,,215
2024,1,Global,73,4.0,58,3.1,8.1,1859
2024,1,Consumer,,,,,,326
2024,1,Financial Services,,,,,,457
2024,1,Healthcare,,,,,,112
2024,1,Industrial,,,,,,746
2024,1,Technology,,,,,,218
2024,2,Global,67,3.6,65,3.5,7.3,1860
2024,2,Consumer,,,,,,325
2024,2,Financial Services,,,,,,460
2024,2,Healthcare,,,,,,110
2024,2,Industrial,,,,,,744
2024,2,Technology,,,,,,221
2024,3,Global,48,2.6,42,2.3,6.4,1869
2024,3,Consumer,,,,,,327
2024,3,Financial Services,,,,,,467
2024,3,Healthcare,,,,,,112
2024,3,Industrial,,,,,,741
2024,3,Technology,,,,,,222
2024,4,Global,31,1.7,37,2.0,7.9,1862
2024,4,Consumer,,,,,,318
2024,4,Financial Services,,,,,,466
2024,4,Healthcare,,,,,,111
2024,4,Industrial,,,,,,739
2024,4,Technology,,,,,,228
2025,1,Global,54,2.9,55,3.0,6.6,1857
2025,1,Consumer,,,,,,319
2025,1,Financial Services,,,,,,466
2025,1,Healthcare,,,,,,113
2025,1,Industrial,,,,,,733
2025,1,Technology,,,,,,226
2025,2,Global,72,3.9,64,3.5,6.7,1853
2025,2,Consumer,,,,,,323
2025,2,Financial Services,,,,,,472
2025,2,Healthcare,,,,,,110
2025,2,Industrial,,,,,,724
2025,2,Technology,,,,,,224
2025,3,Global,50,2.7,56,3.0,8.7,1855
2025,3,Consumer,,,,,,322
2025,3,Financial Services,,,,,,470
2025,3,Healthcare,,,,,,113
2025,3,Industrial,,,,,,727
2025,3,Technology,,,,,,223
2025,4,Global,37,2.0,59,3.2,6.7,1855
2025,4,Consumer,12,3.8,15,4.7,4.4,322
2025,4,Financial Services,6,1.3,12,2.6,11.1,470
2025,4,Healthcare,3,2.7,5,4.5,10.7,113
2025,4,Industrial,12,1.6,22,3.0,5.3,727
2025,4,Technology,4,1.9,5,2.3,4.7,223
